,frame,average_for_this_video_SEPARATION_pinna_ear_left_to_mouth_corner_left,SEPARATION_pinna_ear_left_to_mouth_corner_left,average_for_this_video_SEPARATION_pinna_ear_right_to_mouth_corner_right,SEPARATION_pinna_ear_right_to_mouth_corner_right,happy,average_for_this_video_SEPARATION_pinna_ear_left_inner_brow_left,SEPARATION_pinna_ear_left_inner_brow_left,average_for_this_video_SEPARATION_pinna_ear_right_inner_brow_right,SEPARATION_pinna_ear_right_inner_brow_right,scared_sad,average_for_this_video_SEPARATION_upper_lip_to_lower_lip,SEPARATION_upper_lip_to_lower_lip,average_for_this_video_SEPARATION_pinna_ear_left_to_nose_corner_left,SEPARATION_pinna_ear_left_to_nose_corner_left,average_for_this_video_SEPARATION_pinna_ear_right_to_nose_corner_right,SEPARATION_pinna_ear_right_to_nose_corner_right,angry_disgusted,average_for_this_video_SEPARATION_pinna_ear_left_to_pinna_ear_right,SEPARATION_pinna_ear_left_to_pinna_ear_right,ears_apart,ears_tilted,brows_tilted,nose_tilted,mouth_tilted,suprised
46,44,327.7203284802666,253.52705022988522,502.42287643562145,247.16118959501253,62.58490832923957,178.45414740797662,101.707281953884,163.79409037648512,79.07508096688166,54.413943825727316,49.384335236925835,20.766418608610692,264.33920519672085,200.5694319845865,246.37970266439223,206.84155572586872,40.0,165.44702592936505,173.44450103214672,True,False,False,False,False,28.0
47,45,327.7203284802666,251.6100407434541,502.42287643562145,248.51163173911132,62.662101672900555,178.45414740797662,90.62877161752799,163.79409037648512,79.51972086786101,55.14656133465059,49.384335236925835,18.347916417427697,264.33920519672085,193.66378617898786,246.37970266439223,207.28602609201795,40.0,165.44702592936505,150.76740278698344,False,False,False,False,False,28.0
48,46,327.7203284802666,250.91314678053757,502.42287643562145,249.624165552784,62.6901639102319,178.45414740797662,89.1719643797847,163.79409037648512,75.94717011725253,55.24289942136921,49.384335236925835,19.065270988013665,264.33920519672085,192.3112297550126,246.37970266439223,205.85784820277715,40.0,165.44702592936505,149.20313758199316,False,False,False,False,False,28.0
49,47,327.7203284802666,252.65313863556497,502.42287643562145,248.64835092778424,62.62009863920265,178.45414740797662,94.01768349669233,163.79409037648512,76.09077867791288,54.92245393180544,49.384335236925835,18.733831493368715,264.33920519672085,195.82466974217076,246.37970266439223,207.06457233072462,40.0,165.44702592936505,154.2098471495665,False,False,False,False,False,28.0
50,48,327.7203284802666,250.29748526058972,502.42287643562145,246.4745054953144,62.71495511320955,178.45414740797662,88.82847655366146,163.79409037648512,74.21174917897093,55.26561413552117,49.384335236925835,19.853468952760537,264.33920519672085,192.6176374760787,246.37970266439223,204.8321660668627,40.0,165.44702592936505,146.08540914483356,False,False,False,False,False,28.0
51,49,327.7203284802666,250.90416638066782,502.42287643562145,246.27895598447228,62.69052552925271,178.45414740797662,91.5920464962066,163.79409037648512,75.28272445126925,55.0828603477309,49.384335236925835,18.34545031924728,264.33920519672085,194.3575402493411,246.37970266439223,207.41283138132343,40.0,165.44702592936505,152.22143187984034,False,False,False,False,False,28.0
52,50,327.7203284802666,251.06829237897455,502.42287643562145,245.41384021947582,62.68391657156071,178.45414740797662,89.8610752614412,163.79409037648512,71.85732142494017,55.19732879118851,49.384335236925835,18.756075462101325,264.33920519672085,193.26757304589214,246.37970266439223,206.67204797539804,40.0,165.44702592936505,150.4065662590191,False,False,False,False,False,28.0
53,51,327.7203284802666,243.04177683639264,502.42287643562145,248.01773086613696,63.00712497353491,178.45414740797662,82.19850182541153,163.79409037648512,72.82032652104094,55.70405174330088,49.384335236925835,19.287944482735618,264.33920519672085,187.4978230503813,246.37970266439223,208.79661693141392,40.0,165.44702592936505,143.49603733954424,False,False,False,False,False,28.0
54,52,327.7203284802666,244.0265090479537,502.42287643562145,248.76167422247184,62.967472184876776,178.45414740797662,80.40439612443599,163.79409037648512,73.91241078944513,55.82269524405029,49.384335236925835,22.88041230942024,264.33920519672085,186.02439465267756,246.37970266439223,210.08686337943857,40.0,165.44702592936505,142.6294937260943,False,False,False,False,False,28.0
55,53,327.7203284802666,245.81370448981247,502.42287643562145,248.30127027508405,62.895506139372436,178.45414740797662,85.19753905350811,163.79409037648512,73.71227799465613,55.505726597003374,49.384335236925835,21.543609643513122,264.33920519672085,189.4436046735418,246.37970266439223,210.5694461523265,40.0,165.44702592936505,152.87031546725402,False,False,False,False,False,28.0
